Pro
Calentamiento progresivo, 95, 5, 240
Atranque muscular sentado, 55, 8, 300
Ataque sub-máximo de pie, 65, 9.5, 60
Limpieza de lactato en subida sentado, 75, 8, 180
Atranque muscular sentado, 55, 8.5, 300
Ataque sub-máximo de pie, 65, 9.5, 60
Limpieza de lactato en subida sentado, 75, 8, 180
Agonía final con cadencia alta sentado, 85, 10, 120
Vuelta a la calma, 85, 2, 300
