Amateur
Calentamiento progresivo, 90, 4, 180
Aproximación al puerto sentado, 85, 5, 120
Bloque Sweet Spot sentado, 75, 7.5, 300
Pausa activa en falso llano, 85, 4, 120
Bloque Sweet Spot sentado, 75, 7.5, 300
Cambio de ritmo de pie, 65, 8.5, 60
Enfriamiento regenerativo, 85, 2, 240
